"sample.clean","tree.id","sample","species","ref.chron","dated","truncated","nrings","completed.by","completed.date","previous crossdating results","Alignment good through","previous crossdating notes","previous crossdating notes2"
"2135","2135","2135","PIPO",TRUE,TRUE,"no",110,"Sky","5/11/2015 14:17:20","Good alignment through year X",1970,"","or good alignment throughout?"
"2505","2505","2505","PIPO",TRUE,TRUE,"no",110,"Sky","5/6/2015 15:56:03","Good alignment throughout",NA,"",""
"1150","1150","1150","PIPO",TRUE,TRUE,"no",109,"Joshua","7/8/2015 20:26:34","Good alignment throughout",NA,"",""
"2044","2044","2044","PIPO",TRUE,TRUE,"no",109,"Sky","5/11/2015 14:35:31","Good alignment throughout",NA,"",""
"2039Z","2039","2039Z","PIPO",TRUE,TRUE,"no",108,"Sky","5/19/2015 12:36:54","Good alignment throughout",NA,"alignment is good from 1945 to 1929 unlike previously noted",""
"2553","2553","2553","PSME",TRUE,TRUE,"no",107,"Alec","4/30/2015 15:17:21","Good alignment throughout",NA,"",""
"2006","2006","2006","PSME",TRUE,TRUE,"no",106,"Alec","5/4/2015 10:49:45","Good alignment throughout",NA,"",""
"2582","2582","2582","PIPO",TRUE,TRUE,"no",106,"Alec","4/2/2015 13:57:07","Good alignment throughout",NA,"",""
"PM23","1443","PM23","PSME",TRUE,TRUE,"no",106,"Cameron","10/19/2015 17:26:41","Good alignment throughout",NA,"",""
"1140A","1140","1140A","PIPO",TRUE,TRUE,"no",105,"Joshua","6/23/2015 16:00:42","Good alignment throughout",NA,"",""
"2128","2128","2128","PSME",TRUE,TRUE,"no",105,"Sky","5/5/2015 11:21:29","Good alignment throughout",NA,"",""
"2557","2557","2557","PIPO",TRUE,TRUE,"no",105,"Alec","4/7/2015 19:13:07","Good alignment throughout",NA,"",""
"2599","2599","2599","PIPO",TRUE,TRUE,"no",105,"Alec","4/2/2015 13:59:36","Good alignment through year X",1909,"",""
"2605","2605","2605","ABCO",TRUE,TRUE,"no",105,"Alec","5/4/2015 10:51:00","Good alignment throughout",NA,"",""
"2015B","2015","2015B","PSME",TRUE,TRUE,"no",104,"Alec","4/30/2015 16:10:49","Good alignment throughout",NA,"",""
"2035","2035","2035","PSME",TRUE,TRUE,"no",104,"Sky","5/11/2015 14:57:08","Good alignment throughout",NA,"",""
"2608","2608","2608","PSME",TRUE,TRUE,"no",104,"Sky","5/20/2015 15:18:38","Good alignment throughout",NA,"",""
"2111","2111","2111","ABCO",TRUE,TRUE,"no",103,"Sky","5/13/2015 17:18:38","Good alignment throughout",NA,"",""
"PM22","1103","PM22","PSME",TRUE,TRUE,"no",103,"Cameron","10/19/2015 17:21:54","Good alignment throughout",NA,"One ring added was just one that auto placement totally  missed- point 77",""
"1149","1149","1149","PSME",TRUE,TRUE,"no",102,"Cameron","10/12/2015 14:09:45","Good alignment throughout",NA,"This was done by Cameron during task A.3",""
"2551","2551","2551","PSME",TRUE,TRUE,"no",102,"Alec","4/14/2015 9:58:21","Good alignment throughout",NA,"",""
"2523","2523","2523","ABCO",TRUE,TRUE,"no",101,"Sky","4/16/2015 12:54:18","Good alignment through year X",1952,"","truncated alignment after 1952,  but it may be adjusted to fit better"
"PM265","PM265","PM265","PSME",TRUE,TRUE,"no",100,"Sky","4/21/2015 12:01:41","Good alignment through year X",1912,"",""
"2542","2542","2542","PSME",TRUE,TRUE,"no",99,"Alec","4/14/2015 10:00:35","Good alignment throughout",NA,"",""
"1115","1115","1115","PILA",TRUE,TRUE,"no",98,"Cameron","6/25/2015 12:52:21","Good alignment throughout",NA,"",""
"1417","1417","1417","PSME",TRUE,TRUE,"no",98,"Cameron","10/12/2015 14:07:12","Good alignment throughout",NA,"This was done by Cameron during task A.3",""
"1442","1442","1442","PSME",TRUE,TRUE,"no",98,"Alec","5/4/2015 10:52:15","Good alignment throughout",NA,"",""
"2561","2561","2561","PSME",TRUE,TRUE,"no",98,"Alec","3/9/2015 10:06:39","Good alignment throughout",NA,"",""
"2533","2533","2533","PSME",TRUE,TRUE,"no",97,"Alec","4/30/2015 16:15:29","Good alignment throughout",NA,"",""
"PM221A","1421","PM221A","PSME",TRUE,TRUE,"no",97,"Sky","5/27/2015 17:09:35","Good alignment throughout",NA,"",""
"PM262","PM262","PM262","PSME",TRUE,TRUE,"no",97,"Joshua","7/20/2015 13:56:43","Good alignment throughout",NA,"ref chron all used",""
"PM208","1068","PM208","PSME",TRUE,TRUE,"no",96,"Sky","5/27/2015 16:54:25","Good alignment throughout",NA,"",""
"PM26B","1107","PM26B","PSME",TRUE,TRUE,"no",96,"Cameron","10/19/2015 17:36:39","Good alignment throughout",NA,"",""
"2142","2142","2142","PSME",TRUE,TRUE,"no",95,"Alec","4/2/2015 14:20:21","Good alignment throughout",NA,"",""
"2563","2563","2563","PSME",TRUE,TRUE,"no",95,"Alec","4/3/2015 11:25:00","Good alignment throughout",NA,"",""
"PM205","1073","PM205","PSME",TRUE,TRUE,"no",93,"Sky","5/27/2015 16:55:28","Good alignment throughout",NA,"",""
"2019","2019","2019","PSME",TRUE,TRUE,"no",92,"Alec","4/2/2015 14:40:27","Good alignment throughout",NA,"",""
"2148","2148","2148","PSME",TRUE,TRUE,"no",92,"Alec","4/14/2015 12:40:18","Good alignment through year X",1900,"",""
"2562","2562","2562","ABCO",TRUE,TRUE,"no",92,"Alec","4/2/2015 14:32:47","Good alignment throughout",NA,"",""
"2575B","2575","2575B","PSME",TRUE,TRUE,"no",92,"Alec","4/30/2015 16:20:04","Good alignment throughout",NA,"",""
"2590","2590","2590","PSME",TRUE,TRUE,"no",92,"Alec","4/7/2015 19:15:00","Good alignment throughout",NA,"",""
"2518","2518","2518","PSME",TRUE,TRUE,"no",91,"Sky","4/20/2015 14:06:58","Good alignment throughout",NA,"",""
"2579","2579","2579","PSME",TRUE,TRUE,"no",91,"Alec","4/2/2015 14:53:22","Good alignment throughout",NA,"",""
"PM94","PM94","PM94","PSME",TRUE,TRUE,"no",91,"Sky","4/20/2015 14:10:04","Good alignment through year X",1913,"",""
"1261","1261","1261","PIPO",TRUE,TRUE,"no",90,"Joshua","6/23/2015 15:29:10","Good alignment throughout",NA,"",""
"2546","2546","2546","PSME",TRUE,TRUE,"no",90,"Alec","4/30/2015 16:22:43","Good alignment throughout",NA,"",""
"2514","2514","2514","ABCO",TRUE,TRUE,"no",89,"Sky","5/19/2015 11:20:04","Good alignment throughout",NA,"",""
"2555","2555","2555","PSME",TRUE,TRUE,"no",89,"Alec","4/2/2015 14:55:56","Good alignment throughout",NA,"",""
"PM41","PM41","PM41","PSME",TRUE,TRUE,"no",89,"Morgan","6/19/2015 11:24:00","Good alignment throughout",NA,"",""
"PM46","PM46","PM46","PSME",TRUE,TRUE,"no",89,"Morgan","6/19/2015 10:29:00","Good alignment throughout",NA,"",""
"2047","2047","2047","PSME",TRUE,TRUE,"no",88,"Sky","5/6/2015 16:02:03","Good alignment throughout",NA,"",""
"1069","1069","1069","PIPO",TRUE,TRUE,"no",87,"Sky","5/7/2015 10:36:52","Good alignment through year X",1953,"",""
"1233","1233","1233","PSME",TRUE,TRUE,"no",87,"Sky","5/12/2015 11:29:42","Good alignment through year X",1949,"appears there may be ~3 missing rings after 1949 but unclear where",""
"2609","2609","2609","ABCO",TRUE,TRUE,"no",87,"Alec","4/3/2015 11:41:26","Good alignment throughout",NA,"",""
"1134","1134","1134","PIPO",TRUE,TRUE,"no",86,"Cameron","10/19/2015 18:06:09","Good alignment throughout",NA,"Adding one oitenial ring helped later alignment",""
"1434","1434","1434","PSME",TRUE,TRUE,"no",86,"Alec","4/2/2015 15:04:15","Good alignment throughout",NA,"",""
"2002","2002","2002","PIPO",TRUE,TRUE,"no",86,"Alec","4/30/2015 16:26:52","Good alignment throughout",NA,"",""
"2119","2119","2119","PSME",TRUE,TRUE,"no",86,"Sky","5/19/2015 13:12:20","Good alignment throughout",NA,"Modified by Cameron for task C.1: 10/14/15",""
"2552","2552","2552","PSME",TRUE,TRUE,"no",86,"Alec","4/2/2015 15:11:29","Good alignment throughout",NA,"",""
"2556","2556","2556","PSME",TRUE,TRUE,"no",86,"Alec","4/2/2015 15:12:59","Good alignment throughout",NA,"",""
"PM40","1399","PM40","PSME",TRUE,TRUE,"no",86,"Morgan","6/19/2015 11:05:02","Good alignment throughout",NA,"",""
"1109","1109","1109","PIPO",TRUE,TRUE,"no",85,"Joshua","6/23/2015 12:47:11","Good alignment throughout",NA,"",""
"2010","2010","2010","PIPO",TRUE,TRUE,"no",85,"Alec","5/4/2015 10:59:55","Good alignment throughout",NA,"",""
"2145","2145","2145","PSME",TRUE,TRUE,"no",85,"Alec","4/30/2015 16:43:13","Good alignment throughout",NA,"",""
"2574","2574","2574","ABCO",TRUE,TRUE,"no",85,"Alec","4/2/2015 15:16:33","Good alignment throughout",NA,"",""
"PM89","PM89","PM89","PSME",TRUE,TRUE,"no",85,"Sky","4/21/2015 10:59:21","Good alignment through year X",1927,"",""
"2003","2003","2003","PIPO",TRUE,TRUE,"no",84,"Alec","3/31/2015 10:41:08","Good alignment throughout",NA,"",""
"2606","2606","2606","PSME",TRUE,TRUE,"no",84,"Alec","5/4/2015 11:00:49","Good alignment throughout",NA,"",""
"2000","2000","2000","PSME",TRUE,TRUE,"no",83,"Alec","4/2/2015 15:17:56","Good alignment throughout",NA,"",""
"2113","2113","2113","PSME",TRUE,TRUE,"no",83,"Sky","5/12/2015 11:44:06","Good alignment throughout",NA,"",""
"2118","2118","2118","ABCO",TRUE,TRUE,"no",83,"Sky","5/19/2015 13:11:25","Good alignment throughout",NA,"",""
"2578","2578","2578","PIPO",TRUE,TRUE,"no",83,"Joshua","7/6/2015 21:35:30","Good alignment through year X",1955,"There were originally two points on 1948 instead of that year being set as a dual point. Fixed it but alignment at the end suffers ",""
"PM290","PM290","PM290","PSME",TRUE,TRUE,"no",83,"Alec","4/2/2015 15:19:21","Good alignment throughout",NA,"",""
"PM45","PM45","PM45","PSME",TRUE,TRUE,"no",83,"Morgan","6/19/2015 11:17:07","Good alignment throughout",NA,"",""
"2009","2009","2009","PIPO",TRUE,TRUE,"no",82,"Alec","4/30/2015 16:44:47","Good alignment throughout",NA,"",""
"2104","2104","2104","PSME",TRUE,TRUE,"no",82,"Sky","5/12/2015 11:52:40","Good alignment through year X",1952,"appears ~2 missing rings after 1952 but unclear where",""
"2117","2117","2117","PIPO",TRUE,TRUE,"no",82,"Sky","3/30/2015 14:58:17","Good alignment through year X",1920,"",""
"2504","2504","2504","PSME",TRUE,TRUE,"no",81,"Sky","4/7/2015 12:39:19","Good alignment through year X",1930,"",""
"2607","2607","2607","PIPO",TRUE,TRUE,"no",81,"Alec","4/14/2015 10:14:39","Good alignment throughout",NA,"",""
"1158","1158","1158","PIPO",TRUE,TRUE,"no",80,"Cameron","6/23/2015 15:25:30","Good alignment throughout",NA,"",""
"2124","2124","2124","ABCO",TRUE,TRUE,"no",80,"Sky","5/12/2015 12:03:44","Good alignment throughout",NA,"","check alignment between 1967 and 1947"
"2137","2137","2137","PSME",TRUE,TRUE,"no",80,"Sky","4/2/2015 11:37:36","Good alignment through year X",1924,"",""
"2134","2134","2134","PSME",TRUE,TRUE,"no",79,"Sky","5/12/2015 12:11:58","Good alignment throughout",NA,"",""
"2550","2550","2550","PSME",TRUE,TRUE,"no",79,"Alec","5/4/2015 11:02:15","Good alignment throughout",NA,"",""
"2566","2566","2566","ABCO",TRUE,TRUE,"no",79,"Alec","4/30/2015 16:46:00","Good alignment throughout",NA,"",""
"1112","1112","1112","PIPO",TRUE,TRUE,"no",78,"Joshua","6/25/2015 15:31:03","Good alignment throughout",NA,"",""
"1124","1124","1124","PIPO",TRUE,TRUE,"no",78,"Cameron","6/25/2015 15:38:44","Good alignment through year X",1975,"",""
"1129","1129","1129","PILA",TRUE,TRUE,"no",78,"Cameron","6/25/2015 14:31:01","Good alignment throughout",NA,"",""
"2568","2568","2568","ABCO",TRUE,TRUE,"no",78,"Alec","4/2/2015 15:21:59","Good alignment throughout",NA,"",""
"PM24A","1106","PM24A","PSME",TRUE,TRUE,"no",78,"Cameron","10/19/2015 17:29:18","Good alignment throughout",NA,"",""
"PM293","PM293","PM293","PSME",TRUE,TRUE,"no",78,"Alec","4/3/2015 10:11:52","Good alignment throughout",NA,"",""
"1063","1063","1063","PIPO",TRUE,TRUE,"no",77,"Sky","4/7/2015 12:25:53","Good alignment through year X",1936,"",""
"1072","1072","1072","PIPO",TRUE,TRUE,"no",77,"Sky","3/9/2015 14:32:11","Good alignment through year X",1939,"",""
"1436","1436","1436","PSME",TRUE,TRUE,"no",77,"Alec","4/30/2015 16:49:49","Good alignment throughout",NA,"",""
"2596","2596","2596","PIPO",TRUE,TRUE,"no",77,"Alec","4/14/2015 13:22:35","Good alignment throughout",NA,"",""
"PM218","1423","PM218","PSME",TRUE,TRUE,"no",77,"Sky","5/27/2015 17:10:43","Good alignment throughout",NA,"",""
"PM25A","1108","PM25A","PSME",TRUE,TRUE,"no",77,"Cameron","10/19/2015 17:32:44","Good alignment throughout",NA,"",""
"1133","1133","1133","PSME",TRUE,TRUE,"no",76,"Joshua","6/25/2015 15:15:21","Good alignment throughout",NA,"",""
"2054","2054","2054","PSME",TRUE,TRUE,"no",76,"Sky","5/12/2015 12:13:11","Good alignment throughout",NA,"",""
"2105","2105","2105","ABCO",TRUE,TRUE,"no",76,"Sky","5/12/2015 12:15:23","Good alignment throughout",NA,"",""
"2502","2502","2502","ABCO",TRUE,TRUE,"no",76,"Sky","4/7/2015 12:20:53","Good alignment through year X",1927,"",""
"2510","2510","2510","PIPO",TRUE,TRUE,"no",76,"Sky","4/1/2015 15:44:14","Good alignment through year X",1895,"","check dating"
"2571","2571","2571","PSME",TRUE,TRUE,"no",76,"Alec","3/31/2015 11:16:13","Good alignment throughout",NA,"",""
"1131","1131","1131","PIPO",TRUE,TRUE,"no",75,"Cameron","10/12/2015 14:27:38","Good alignment throughout",NA,"This was done by Cameron during task A.3",""
"1231","1231","1231","PIPO",TRUE,TRUE,"no",75,"Morgan","6/19/2015 11:27:20","Good alignment throughout",NA,"",""
"2581","2581","2581","PSME",TRUE,TRUE,"no",75,"Alec","3/12/2015 12:34:11","Good alignment throughout",NA,"",""
"PM27","1400","PM27","PSME",TRUE,TRUE,"no",75,"Cameron","10/19/2015 17:38:37","Good alignment throughout",NA,"",""
"PM36","PM36","PM36","PSME",TRUE,TRUE,"no",75,"Morgan","6/19/2015 11:19:08","Good alignment throughout",NA,"",""
"1147","1147","1147","PSME",TRUE,TRUE,"no",74,"Joshua","6/23/2015 15:19:39","Good alignment throughout",NA,"",""
"1154","1154","1154","PIPO",TRUE,TRUE,"no",74,"Morgan","6/25/2015 15:24:21","Good alignment throughout",NA,"",""
"2055","2055","2055","PSME",TRUE,TRUE,"no",74,"Sky","5/6/2015 16:06:30","Good alignment throughout",NA,"",""
"2532","2532","2532","PSME",TRUE,TRUE,"no",74,"Alec","5/4/2015 11:04:31","Good alignment throughout",NA,"",""
"PM99","PM99","PM99","PSME",TRUE,TRUE,"no",74,"Joshua","7/20/2015 14:06:59","Good alignment throughout",NA,"ref chron all used","Decided to take out a ring and add one that looked more obvious. Did that make sense?"
"1118","1118","1118","PILA",TRUE,TRUE,"no",73,"Cameron","10/28/2015 22:21:57","Good alignment throughout",NA,"This was a resubmission: Josh deleted a good ring , and allowed a ridiculous ring that was auto placed to stand. I fixed both of these and correlation went up. ",""
"2140","2140","2140","PSME",TRUE,TRUE,"no",73,"Alec","5/4/2015 11:03:30","Good alignment throughout",NA,"",""
"2535","2535","2535","PSME",TRUE,TRUE,"no",73,"Alec","4/3/2015 10:13:24","Good alignment throughout",NA,"",""
"1114","1114","1114","PSME",TRUE,TRUE,"no",72,"Cameron","6/25/2015 12:58:21","Good alignment throughout",NA,"",""
"1136","1136","1136","PIPO",TRUE,TRUE,"no",72,"Joshua","6/23/2015 13:51:54","Good alignment through year X",1975,"",""
"1160","1160","1160","PIPO",TRUE,TRUE,"no",72,"Joshua","6/23/2015 15:35:34","Good alignment throughout",NA,"",""
"2001B","2001","2001B","PSME",TRUE,TRUE,"no",72,"Alec","4/3/2015 10:14:37","Good alignment throughout",NA,"",""
"PM195","1062","PM195","PSME",TRUE,TRUE,"no",72,"Sky","5/27/2015 17:02:06","Good alignment throughout",NA,"",""
"PM97","PM97","PM97","PSME",TRUE,TRUE,"no",72,"Sky","5/19/2015 11:18:02","Good alignment throughout",NA,"",""
"1071","1071","1071","PIPO",TRUE,TRUE,"no",71,"Sky","3/4/2015 14:12:40","Good alignment throughout",NA,"",""
"1110","1110","1110","PSME",TRUE,TRUE,"no",71,"Joshua","6/25/2015 15:10:55","Good alignment throughout",NA,"",""
"1235","1235","1235","PSME",TRUE,TRUE,"no",71,"Sky","4/1/2015 16:57:30","Good alignment through year X",1941,"",""
"2038","2038","2038","PSME",TRUE,TRUE,"no",71,"Sky","5/5/2015 11:09:57","Good alignment throughout",NA,"",""
"2539","2539","2539","ABCO",TRUE,TRUE,"no",71,"Alec","4/3/2015 10:17:09","Good alignment throughout",NA,"",""
"2540","2540","2540","PSME",TRUE,TRUE,"no",71,"Alec","4/3/2015 10:18:25","Good alignment throughout",NA,"",""
"2589","2589","2589","PSME",TRUE,TRUE,"no",71,"Alec","4/3/2015 10:20:02","Good alignment throughout",NA,"",""
"1119","1119","1119","PSME",TRUE,TRUE,"no",70,"Cameron","6/25/2015 14:21:31","Good alignment throughout",NA,"",""
"2122","2122","2122","PSME",TRUE,TRUE,"no",70,"Sky","4/1/2015 16:53:56","Good alignment through year X",1943,"",""
"2125","2125","2125","PSME",TRUE,TRUE,"no",70,"Sky","4/1/2015 16:43:18","Good alignment through year X",1942,"",""
"2164","2164","2164","PSME",TRUE,TRUE,"no",70,"Sky","5/7/2015 10:37:39","Good alignment throughout",NA,"",""
"2577","2577","2577","PSME",TRUE,TRUE,"no",70,"Alec","4/14/2015 12:43:01","Good alignment throughout",NA,"",""
"1078","1078","1078","PIPO",TRUE,TRUE,"no",69,"Sky","4/9/2015 12:32:24","Good alignment throughout",NA,"",""
"1120","1120","1120","PILA",TRUE,TRUE,"no",69,"Joshua","6/23/2015 13:12:29","Good alignment throughout",NA,"",""
"1145","1145","1145","PSME",TRUE,TRUE,"no",69,"Joshua","6/23/2015 15:46:10","Good alignment throughout",NA,"",""
"1146","1146","1146","PIPO",TRUE,TRUE,"no",69,"Cameron","10/12/2015 14:29:44","Good alignment throughout",NA,"This was done by Cameron during task A.3",""
"2011","2011","2011","PSME",TRUE,TRUE,"no",69,"Alec","5/4/2015 11:05:41","Good alignment throughout",NA,"",""
"2141","2141","2141","PIPO",TRUE,TRUE,"no",69,"Alec","4/14/2015 10:17:09","Good alignment throughout",NA,"",""
"2144","2144","2144","PSME",TRUE,TRUE,"no",69,"Alec","5/4/2015 11:17:11","Good alignment throughout",NA,"Ab didn't seem like real ab, just a couple weird looking rings. Added points for rings and alignment was really good.",""
"1130","1130","1130","PILA",TRUE,TRUE,"no",68,"Cameron","6/25/2015 15:15:36","Good alignment throughout",NA,"",""
"2147","2147","2147","PIPO",TRUE,TRUE,"no",68,"Alec","4/3/2015 10:26:09","Good alignment throughout",NA,"",""
"2565","2565","2565","PSME",TRUE,TRUE,"no",68,"Alec","4/3/2015 10:23:11","Good alignment throughout",NA,"",""
"PM186","1070","PM186","PSME",TRUE,TRUE,"no",68,"Sky","5/27/2015 17:26:05","Good alignment throughout",NA,"",""
"2048","2048","2048","PSME",TRUE,TRUE,"no",67,"Sky","5/12/2015 12:20:41","Good alignment throughout",NA,"",""
"2156","2156","2156","PSME",TRUE,TRUE,"no",67,"Sky","5/7/2015 10:43:10","Good alignment throughout",NA,"",""
"2544","2544","2544","PSME",TRUE,TRUE,"no",67,"Alec","4/30/2015 17:00:17","Good alignment throughout",NA,"",""
"1123","1123","1123","PIPO",TRUE,TRUE,"no",66,"Joshua","6/23/2015 13:24:30","Good alignment throughout",NA,"",""
"1132","1132","1132","PSME",TRUE,TRUE,"no",66,"Cameron","6/25/2015 12:07:31","Good alignment throughout",NA,"perfect-had to do nothing",""
"2515","2515","2515","ABCO",TRUE,TRUE,"no",66,"Sky","5/4/2015 14:57:49","Good alignment throughout",NA,"",""
"1117","1117","1117","PIPO",TRUE,TRUE,"no",65,"Joshua","6/23/2015 15:11:07","Good alignment throughout",NA,"",""
"1228","1228","1228","PSME",TRUE,TRUE,"no",65,"Sky","4/1/2015 16:35:47","Good alignment through year X",1947,"",""
"2160","2160","2160","PSME",TRUE,TRUE,"no",65,"Sky","5/20/2015 16:43:02","Good alignment throughout",NA,"Modified by Cameron for task C.1: 10/14/15",""
"2167A","2167","2167A","PIPO",TRUE,TRUE,"no",65,"Sky","5/27/2015 18:49:28","Good alignment through year X",1958,"",""
"2162","2162","2162","PSME",TRUE,TRUE,"no",64,"Sky","5/13/2015 16:36:34","Good alignment throughout",NA,"",""
"1497","1497","1497","PIPO",TRUE,TRUE,"no",63,"Alec","3/12/2015 12:46:07","Good alignment throughout",NA,"",""
"2004","2004","2004","PSME",TRUE,TRUE,"no",63,"Alec","5/4/2015 11:07:05","Good alignment throughout",NA,"",""
"2008","2008","2008","PSME",TRUE,TRUE,"no",63,"Alec","4/3/2015 10:30:05","Good alignment throughout",NA,"",""
"2519","2519","2519","PSME",TRUE,TRUE,"no",63,"Sky","5/7/2015 10:47:44","Good alignment throughout",NA,"",""
